d,n,fc,lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std
30,100,0.1,0.01,288522093.7292112,144475781871.9297,301716764.80699563,149364300457.2504,324808679.46547353,440189252.4110495,1.12529227848285e-31,335065569.7514246,456320367.77463233,0.00038322288498543597,320174170.6150714,164776622994.21793,365415183.80231917,493348950.22458464,336213297.4815271,167185978334.7003,376128801.96375024,514342555.94826496,1.12529227848285e-31,1.12529227848285e-31,145027881893.25156,0.0,0.0,162369568904.87207
30,100,0.1,0.1,313033.44567555655,158095076.74506664,404053.14689140883,207357984.00991303,344768.27437819156,469062.54041229974,1.12529227848285e-31,452647.6192356745,617395.3907802075,0.002315113055192026,350168.1179680595,173272007.95790818,392303.36557568616,521717.22566437884,354268.5633350863,188489379.57872382,405593.06891132874,553895.6333073386,1.12529227848285e-31,1.12529227848285e-31,159427847.16771442,0.0,0.0,181979147.00274333
30,100,0.1,0.5,2891.9488925998376,1463526.8517815385,7221.100707094951,3629878.17241757,3152.8030466908676,4285.738755810494,1.12529227848285e-31,8011.70096116266,11043.10523044234,0.003791204437487153,3319.4836070887086,1683570.3101212373,3575.1309442313554,4826.056854095806,4084.317826829225,2053740.6946071365,4479.912878033731,6294.7779882828745,1.12529227848285e-31,1.12529227848285e-31,1408832.258127553,0.0,0.0,1576894.1612654845
30,100,0.1,1.0,392.6709731222989,192918.20029058828,1590.4720526934418,800103.813534836,441.812904600914,597.8824806967197,1.12529227848285e-31,1775.04239171312,2428.4584611735763,0.004256209043201572,429.41327351932745,220286.38139609527,503.5457262537966,676.0624676437243,717.1037080716409,359544.98473451764,825.1843742984163,1134.7074984705662,1.12529227848285e-31,1.12529227848285e-31,199428.98032212938,0.0,0.0,227922.28255183526
30,100,0.1,3.0,18.001254788501566,9013.922282967129,182.944207069678,92238.69691704011,20.008280316391154,27.373525781226427,1.12529227848285e-31,202.87754452197763,280.06891855498833,0.0050689631014226855,20.52024643973893,10201.968378360454,22.470072279293944,31.515290677540047,70.38730549140868,35273.829578295576,78.83082757665515,112.16811129365986,1.12529227848285e-31,1.12529227848285e-31,8934.393070366299,0.0,0.0,10039.871481047281
30,100,0.1,5.0,4.5105952934352365,2247.0294394949337,72.63097371040371,36375.940835701855,4.957474107296963,6.818705618084813,1.12529227848285e-31,80.1201749032974,110.3935134813522,0.005528257167904367,5.197802504718533,2614.4100514356132,5.6917868963763825,7.771534355747159,27.077174600659575,13792.25564123345,31.331131005016253,42.09611989938171,1.12529227848285e-31,1.12529227848285e-31,2228.9141981498037,0.0,0.0,2607.3571445056896
30,100,0.1,7.0,1.810541853733431,911.745326909229,40.49992283068733,20095.749439757215,2.0435594345452697,2.7197523383677353,1.12529227848285e-31,44.809290972152986,60.98598486853781,0.005847740214200833,2.014006008097955,1053.290615026696,2.314177016163564,3.0624027739692723,15.0208024801042,7466.2874624103615,17.248833657070218,23.09731044915429,1.12529227848285e-31,1.12529227848285e-31,905.8608516389612,0.0,0.0,1033.4058392663947
30,100,0.1,10.0,0.7002067915117041,344.17739450218835,22.068216119795455,11027.879686520646,0.7801391995816617,1.0803127348108557,1.12529227848285e-31,24.492472635281842,33.36474502284553,0.006183258062995983,0.7574147619128117,388.02320845431143,0.8909545361021056,1.2413240247993058,8.111536683392512,4087.1197020976842,9.373926111155788,12.517591058667076,1.12529227848285e-31,1.12529227848285e-31,349.9424551547039,0.0,0.0,409.5329955627245
30,100,0.1,15.0,0.242450510052167,122.03188355274513,11.35053388440278,5673.543292513087,0.273791195638915,0.3685323989413083,1.12529227848285e-31,12.584709170917343,17.264133552082328,0.006538363225132499,0.27195989205717547,137.9841200874412,0.3105796558731442,0.41366979739059945,4.232281504167485,2100.7646421106783,4.7674016491482885,6.504012247224913,1.12529227848285e-31,1.12529227848285e-31,120.22030851368227,0.0,0.0,135.2303372994035
30,100,0.1,20.0,0.12377309257679121,57.429899649743064,7.192874636186761,3600.3453755447968,0.13426875333986746,0.1857472433482951,1.12529227848285e-31,8.01250707607779,10.991586044927018,0.006762202098119969,0.13973047457486806,64.1610220342696,0.14989603923983355,0.21553920742464694,2.680154597527651,1313.410783848277,3.019678791940819,4.112820633242058,1.12529227848285e-31,1.12529227848285e-31,58.84658966100663,0.0,0.0,67.68460803690672
30,100,0.1,25.0,0.07074569723965159,33.65276912688054,5.111729729904955,2538.888998172311,0.07866244099248458,0.10593881520309632,1.12529227848285e-31,5.646829821209113,7.741266661953933,0.00691635777335407,0.07678595002577238,38.54052384467881,0.08575555472243727,0.11635550644400866,1.870842972550426,927.3311111529842,2.123972184289093,2.8775523090424255,1.12529227848285e-31,1.12529227848285e-31,33.09405167301768,0.0,0.0,37.06298183867555
