N_train_frac,lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std,unreg_theta_hat_pp_norm,unreg_theta_hat_nonpp_norm,reg_theta_hat_pp_norm,unreg_theta_hat_jorg_max_norm,unreg_theta_hat_jorg_avg_norm,reg_theta_hat_jorg_max_norm,reg_theta_hat_jorg_avg_norm
8,50,1.4091295073529346,43.74531694956356,206.31768696660856,6537.144352539644,1.7747402246528032,2.5751212065446465,6.683824277183514,265.82690923662267,392.8027041781191,0.005790464201321268,1.650153609597389,49.66140724546354,2.3653746109593357,3.0456517188227323,76.52449172621772,2409.8707068774497,149.92647654180792,175.06082323676162,6.683824277183516,6.683824277183516,42.77610477272969,1.7763568394002505e-15,1.7763568394002505e-15,49.25917923291283,1.991719133919317,11.231765973961792,11.210686709736692,2.2156075331757212,2.7349459030647965,2.220908223051951,2.728989089643285
8,100,0.23088413911215294,7.174006941614014,67.60174192321391,2147.0003653082244,0.2985924366140472,0.43464087570659465,6.683824277183514,88.61730652075987,129.81105834592103,0.00594075328509751,0.26655090360101524,8.350858731816997,0.39620703187141115,0.5049270102482956,24.783347280176574,778.8726878977985,50.27734628703227,57.54167056546803,6.683824277183516,6.683824277183516,7.263126916262849,1.7763568394002505e-15,1.7763568394002505e-15,8.388979436722263,0.8073119365934588,4.564069713393725,4.552384765281531,0.9004632153437823,1.109900681314109,0.9078600886236223,1.1115295379409451
16,50,0.6033348270165388,397.2910410343313,91.73324030126557,60480.41472607879,0.813698027294398,1.5636213799686116,0.01872016455030229,122.46315227956686,235.69758757186625,0.00570324145949999,0.6904836121646438,450.8257028451623,1.015030547420078,1.8992918580861728,34.24190800081702,22123.328635484977,63.615129878426835,104.12930898880204,0.01872016455030229,0.01872016455030229,404.44192533745843,0.0,0.0,461.2596088346899,1.323284253004172,34.077512027981854,34.10618702641205,1.5127531556855498,2.114852370709187,1.5129423615147046,2.1154340267903042
16,100,0.10493377326487402,65.696440984114,29.969952695869974,20060.1357415092,0.14258349291825315,0.2670012889941705,0.01872016455030229,40.21807833581518,77.95947627920248,0.005893320737759123,0.11773118629663275,76.28454786469564,0.1815087832888708,0.3170904182481945,11.002563672588288,7431.562771610352,20.711355148835743,34.72884624330238,0.01872016455030229,0.01872016455030229,66.97762160017105,0.0,0.0,77.80200902204017,0.538601751017171,13.826783578585164,13.906718912002017,0.6177220278387573,0.861507602067661,0.6142878567228536,0.8615655241406265
24,50,0.22380231022905792,24.373829387430717,32.96789557978417,3732.212789035715,0.2813572213205364,0.5193900312790413,0.02802510147899729,42.28892966399935,77.32647490322869,0.005711860715215034,0.25340623068340695,28.047519855032952,0.3350474876073401,0.6133600275324176,12.096287438667803,1394.782116391422,19.49591257215868,32.46383043601035,0.02802510147899729,0.02802510147899729,24.549582809542112,0.0,0.0,28.453412806929407,0.7976399023559312,8.473568458468792,8.468268977498328,0.8884654715830881,1.2148704890182802,0.8942680818501136,1.2136770755766526
24,100,0.04237633140003576,4.1593437905870205,10.910990370589262,1227.7420284165153,0.05161127272181269,0.09038953791885643,0.02802510147899729,13.968267187808518,25.402089345988543,0.005897506514799429,0.045979955161654096,4.826586668056028,0.059376356411360506,0.10622417706442858,4.009969149572977,446.9212569473988,6.559947364301475,10.715907417170467,0.02802510147899729,0.02802510147899729,4.050399536592886,0.0,0.0,4.549179581779388,0.32431271160168873,3.443951633817078,3.4422844225912943,0.3627062777501442,0.4933502458447008,0.36377346872769506,0.4927849270652792
32,50,0.1205338882276892,159.23262816506247,17.32376548487651,24031.763150463026,0.14363343693893935,0.2746920812617459,8.222130768503953e-28,21.08518641599319,40.572738450059326,0.005694897727476802,0.13573946323230585,187.16923957977775,0.1664887942496363,0.32201763176704784,6.421885764903089,8825.173195103487,8.925414363847496,16.06365040295611,8.222130768503953e-28,8.222130768503953e-28,158.27687799554414,0.0,0.0,177.7203642578926,0.5775644116774905,21.447078019301426,21.494684385177457,0.6346625899263361,0.8826585728564572,0.6335993418694096,0.8811326536466273
32,100,0.02463833702519682,25.37814244908305,5.696380956809721,7860.771663787142,0.029058396700693538,0.05067991918331132,8.222130768503953e-28,6.9059480825099175,13.41760370634081,0.0058885795577987045,0.025435825790812234,29.49718752294719,0.031407632203552825,0.056970212165219504,2.084510145324196,2884.4156214792183,2.9317671098418985,5.308139720128801,8.222130768503953e-28,8.222130768503953e-28,26.239947240786517,0.0,0.0,29.838945625610112,0.23450391307624627,8.719046687741434,8.707115165893311,0.2575373599951777,0.3590754104176327,0.25680619974342167,0.35884492645493754
40,50,0.09958314460499432,208.72398386492395,14.328703826434165,31106.464343701788,0.12782875477332314,0.24062487458497395,5.8004514834546e-31,18.22469559892895,35.707489177765076,0.0056930058678119925,0.10851083831608248,238.86870171161206,0.15258598279568283,0.2794608492435191,5.315614574370636,11410.80383063277,8.09154531303911,13.919698565248794,5.8004514834546e-31,5.8004514834546e-31,207.17002003035753,0.0,0.0,238.95265185174352,0.5238328266590184,24.546763727857254,24.459606165708315,0.5900120177720803,0.8260436168153749,0.5880694075237409,0.827056828512923
40,100,0.0212078281917834,34.604211129771,4.706859571420285,10299.056869371709,0.025833613587180906,0.04459504670376002,5.8004514834546e-31,6.032458503967618,11.753847296410472,0.005887626389744126,0.021262122021667846,40.04662488534143,0.026949023797686013,0.05001721635186537,1.7299354997068186,3797.1126334577534,2.626418162646433,4.6595879649782095,5.8004514834546e-31,5.8004514834546e-31,33.467828062822804,0.0,0.0,37.74687594511397,0.21281543621455734,9.92530596110262,9.965916754419995,0.2400013644621281,0.335495254592297,0.23969186088782002,0.3358317181062703
